surface	gloss	supergloss	supercompound	display gloss	i	a	COMMENTS/TODOS	alt_gloss	noun/pronoun	phonetic noun	adj/adv	verb	quantifier	conjunction	preposition	affix	interjection	fn	cognates	tok
du	do			do/marks verb	1	0			deed; action			to do sth; to make sth (direction thing: into something)						marks verb	du (en:1.0:do; zh:0.5:zuo; ru:0.2:дело; de:0.7:tun)	
	do-person	doer			1.5				subject (of a sentence); doer; agent											
no	no			what	2	4			zero; nothingness				no; not; zero					question marker	no (en:1.0:no; hi:0.2:नहीं=no; ru:0.4:нет/ноль=not/zero; es:1.0:no; pt:0.8:não=not; it:0.8:non; fr:0.9:non; id:0.4:nol=zero; fi:0.4:nolla=zero; de:0.4:nicht/null; vi:0.1:không); bu (zh); la/le (ar, tok, ta)?	ala
so	like			marks adjective	3	6	TODO consider replace with "of"											as (in the sense of "to dress up AS"); that/who (when introducing relative clause); marks adjective	so (en:0.8:so; zh:0.3:xiang=like; ru:0.7:ЧТО=that; hi:0.4:साsa/समान=like/-ish/resembling, pcm:0.4:se=that; id:0.2:sangat/serupa=very/similar/equal; ar:0.4:سَوَاء=equal; sw:0.4:sawa/sana=similar/very; yo:0.6:sosai=very; tr:0.1:çok=very); da (en:that's, de:dass); lang (tpi:long=of); se (pcm:se=that)	
	like this				4						like this									
bi	be			be/if	5	10	DECISION: "unify with thing? or being/animal? probably not the latter." - person and animal cover that space. And "to thing sth" is more like "to do sth", not "to be sth"		existence; being; state; situation		extant	to be sth; to exist; to show up		if					bi (en:1.0:be; ru:0.9:быть; ig:0.2:ịbụ)	
	body-be	health			6		aka bodily state		health											
de	of			of/from	7	14		from: anti-direction	posession		about; based on	to own sth			of; from; away; genitive marker; intended for; about				de (es:1.0:de=of; pt:1.0:de=of; it:0.7:di/da=of; fr:0.7:de=of; id:0.6:dari=of; zh:0.4:de--note"de" is confusing bc it works backwards from zh); long (tpi:bilong); ya (sw:of); ke/ka/ki (hi)	tan
tu	direction			to/direction	8	16			direction						to; towards; in order to (para in spanish); por; to (physical or object); para; for the sake of; "this gift is TO you"			than	tu (en:1.0:to, te:1.0:tu=direction) ; pa (es: pa/para)	tawa
i	this			this/he/she/it	9	18	"the cognate spects for this/that have higher numbers than the surfaces may seem to imply. Thsi is the case for langauges where i/a seems to regularly contrast proximal/distal, e.g.:
id: sini/sana
de:hier/da
en:this/that
es: aquí/acá
fr:ici/là
zh:zhei/na"		this; he; she; it; the; him; her		such; thusly		this					the	i (te:1.0:I=this; kri:0.7:i=he/she, en:0.6:he/'e=he; en:0.3:this; en:0.4:here; es:0.7:aquí; id:0.8:ini=this; id:0.7:ia=he/she; hi:0.5:yehयह=he/she/it/this; pt:0.7:qui; fr:0.8:ici; fr:0.7:il; sn:0.7:iye; sw:0.8:hii; ru:0.1:этот; es:0.1:este; fil:0.7:ito; zh:0.3:zhei; de:0.3:hier)	ni; ona
a	that			that	10	20			that; he; she; it		such; thusly		that						a (te:1.0:a; zh:0.4:那; fil:0.4:na; ig:0.4:na; en:0.4:that; es:0.7:acá; de:0.4:da/das; hi:0.4:वह; ru:0.3:там; fr:0.6:là; pt:0.6:là; id:0.6:sana)	ni; ona
lai	other			other/and	11	22	DECIDED: "consider either merge with different or turn into adjective." — "different" was merged into "change" IIRC.		another thing		other; different		other					and (when "and" doesn't mean "together", e.g. in lists)	lai (id:0.7:lain=other; zh:0.8:来lai=another; zh:0.5:另外lingwai=other; en:0.2:lie); ling (zh:ling; ms:lain=other); nye (zu)	
mi	me			I	12	24			me; I										mi (en:1.0:me; es:1.0:mi; bci:1.0:mi; de:0.8:mir; ga:0.7:mé; hi:0.6:मैं; ru:0.6:мне; pt:0.5:meu; it:0.7:Me; fr:0.3:moi; fi:0.8:minä; sw:0.8:mimi; yo:0.8:emi; ha:0.3:ni; ig:0.1:mmecha=completion; te:0.5:ముగింపు=complete/end)	mi
yu	you			you	13	26			you; thou										yu (en:1.0:you; de:0.4:du; es:0.2:tú)	sina
swa	self			self/just/marks emphasis	14	28	note: "even" is used to mean "even if" by many ESL speakers		self; themselves; themself		just (past)/just about to (future); barely			even if					swa (hi:1.0:swa=self; fr:1.0:soi=self; ga:0.6:-sa=stress clitic; zh:0.2:zi; ru:0.2:себя; fi:0.2:sarili; de:0.2:selbst; te:0.7:స్వీయ)	
	other-self	eachother			15				each other											
	do X direction Y				16							to do X to Y								
	do do X direction Y				17							to make X into Y								
	do X direction do Y				18							to do X in order to do Y								
ting	thing			thing	19	38		do	thing; deed; aspect; facet; characteristic; trait; step (aka measure); measure (aka step); item		literal; concrete	to do things; to make sth; to treat (a person well); to do sth						anything	ting (en:0.9:thing; zh:0.6:dongxi; de:0.9:ding)	ijo
yo	have			have	20	40			possession; property			to have sth; to hold sth; to carry sth; to bear sth [archaic]							yo (zh:1.0:yo=have; es:0.1:llevar)	jo
pu	get			get	21	42	this could be deprecated to "hand" aka "grasp", though that conflates active and passive. It could also be "reverse-give". However, to be naturalistic, we have kept it an atom.	cause-have				to get sth; to obtain sth; to receive sth							po (sw:0.7:kupokea; ru:0.7:получать=get/obtain; te:07:పొందండి=get/obtain; hi:0.2:पाना=get) ; gau (zh:gao lai=get; en:get) ; chu (zh:0.9:qu)	
ne	inside			in	22	44			inside; interior		interior	to enter sth; to go inside sth; to draw sth inside; to suck (e.g. this do inside air)			during (temporal); in; in (static location); inside; within				ne (zh:0.9:nei; ja:0.5:nai; th:0.5:nai; ko:0.5:ane; en:0.2:in; de:0.2:in; es:0.2:en=in; pt:0.1:em=in; it:0.2:In=in; sw:0.2:ndani=inside; zu:0.2:ngaphakathi=inside; ig:0.2:n'ime=inside); me (hi:mein); li/lo (te:lo; zh:li)	insa
dai	use			use	23	46			use; purpose		useful; used; using	to use sth; to avail o.s. of sth; to take advantage of sth						marks instrumental case	yong (zh:1.0:yong=use; en:0.2:use)	kepeken; pona
	against-more	less			24						less									
mai	more			more	25	47	Telugu more = “మరి (mari) +‎ ఎంత (enta​)” = other-this-number	other-number			more; beyond; further; farther; anymore	to increase sth							mai (pt:0.8:mais=more; es:0.4:más=more; fil:0.4:mas=more; de:0.3:mehr=more; en:0.3:more; te:0.2:మరింత=more; fi:0.1:-mpi.=comparative suffix)	
	no more				26						no longer									
	over-more	too			27				excess; surplus		in excess of; too									
ba	with			with/marks command	28	56	"TODO ""and"" as a conjunction should be ""also""; TODO consider merging with touch? (note: also considering merging ""surface"" or ""hand"" into touch)
NOTE: ""ba"" is the only atom with two different meanings, the first being ""with"", and the second being ""please""/marking command"				together	to accompany sb; to be with sb		and	with; por (Spanish)		please	marks command	ba (fa:1.0:ba=with; mn:0.8:ба=and; id:0.2:bersama=together; tr:0.2:birlikte=together); da (chm); le (lus:leh; ga:le; tn:and; tr:ile=with); te (doi:ते); be (ff); na (tpi); ne (lg)	
go	go			go	29	58			a trip; a journey			to go; to journey; to go swh; to attend sth; to visit swh		then; after					go (en:1.0:go; zh:0.7:过; sa:0.5:गा=go; nl:0.5:ga=go!; de:0.5:geh; tr:0.2:gitmek=go); se (vi:sẽ); wi (en:will)	tawa
e	what			what/marks question	30	60	NOTE: what-energy could be merged in	which					what; which						e (te:1.0:E, yo:0.7:ewo?=what?; en:0.6:eh?; zh:0.6:e/nei; pcm:0.1:wetin; es:0.5:que; fr:0.5:quelle; it:0.5:che; pt:0.5:que; ha:0.5:me=what; ig:0.3:Kedu=what; tr:0.5:Ne=what), we (pcm:0.7:wetin)	seme
nai	distance			distance	31	62			distance; difference		far	to get further away; to put distance between yourself and sth; to get further away from sth							nai (en:0.5:nigh; de:0.4:nahe; ha:0.4:nisa=distance) ; cha ( zh:cha=difference; id:jauh=far)	
da	big			big/very	33	66	"has antonym
note that there are many ""big"" words with 1) ""a"" as stem; and 2) ""b-"""		size; growth; swelling; parent		big; important; very; huge; large; major; great; quite; rather; really; a lot; very much	to swell; to enlarge sth; to make sth bigger; to expand sth; to grow sth (e.g. a plant); to raise sth (e.g. an animal); to cutivate sth (e.g. a habit or plants); to do something in a big way						very	da (zh:1.0:da=big; ono:0.3:; es:0.1:tamaño; hi:0.3:बड़ा)	suli
	big-way	important			34				importance; significance		important; significant	to aggrandize sth								
wi	small			small	35	70	"has antonym
note that many ""small"" words have ""i"" in the stem"	anti-big	smallness; child		small; little; subtle	to shrink sth; to summarize sth							wi (en:1.0:wee)	lili
o	all			all/completely-	36	72	TODO: still not sure if completative (e.g. search—>find, think —> decide) should be all- or end-						all; each; every; both						o (en:0.6:all, sco:0.8:au, tpi:0.8:ol, pcm:0.8:ol, es:0.2:todo; pt:0.2:todo; it:0.7:ogni; fi:0.2:joka=every; sw:0.2:zote=all; zu:0.2:konke=all; sn:0.2:zvose=all; ha:0.1:kowane=every; yo:0.1:gbogbo=all/every; la:0.3:omne); au (en:0.6:all, sco:1.0:au, tpi:0.7:ol, pcm:0.7:ol, la:0.1:omne); me (zh:mei)	ale
ku	hard			hard	37	74			stone; rock; hardness		stone-like; hard	to harden sth; to freeze sth							"ku (ono:0.7; zh:0.7:ku=bitter; vi:0.7:khó=difficult?; zu:0.5:kunzima=difficult; ru:0.2:камень=rock; id:0.2:keras=hard; zu:0.2:kanzima=hard; te:0.2:కష్టంkashtam=hard; zu:0.1:okubabayo=bitter; fi:0.2:kivi=stone; sn:0.7:kuoma=hardness; es:0.2:duro=hard; pt:0.2:duro=hard;	it:0.2:duro=hard; fr:0.1:dur=hard; hi:0.2:कठोरता=hardness); nwa (fr:noix)"	kiwen
pau	end			end	38	76	"DONE check tip/point vs end (for an object). Maybe ""tip"" is just ""small-end"".
Note: has antonym. This one seems pretty important.
TODO: decide whether stay/wait need different after all?"	anti-start	end; ending; completion		complete; to completion (adv); ended; stopped	to finish sth; to complete sth; to end sth; to turn sth off; to close sth; to die; to kill sb/sth; to stop sth				prefix meaning to do something to completion;			pau (haw:1.0:pau=finished/done/destroyed; hwc:1.0:pau=done, finished, el:0.4:παύω=stop; pt:0.3:parar=stop; es:0.3:parar=stop; ru:0.6:пауза=pause; pl:0.6:pauza=pause; es:0.6:pausa=pause; pt:0.6:pausa=pause; it:0.6:pausa=pause; fr:0.4:pause=pause; ); dai (en:0.7:die, zh:0.5:歹/dai=die); mo (zh:0.9:mo=end; ar:0.3:مكتمل=complete; es:0.3:morir=to die; pt:0.3:morrer=to die; it:0.3:morire=to die; fr:0.3:mourir=to die; sw:0.2:mwisho=end; fil:0.1:mamatay=die); gwang (zh:0.9:guang=close); dau (zh:0.9:dao=completitive particle)	awen; pake
ga	good			good	39	78			good		good; cool; awesome; nice	to fix sth; to repair sth; to do good							ga (ono:0.3; zh:0.4:hao; en:0.3:good; ar:0.2:جيد; de:0.3:gut; ha:0.5:gyara=repair); hau (zh:hao); bon (la); bang (zh:awesome+help); ku (en:cool); su (sa:good)	pona
ge	give			give	40	80	Note: give and get are defined antonyms	could be the transitive form of "to have". but that is probably too much simplification	gift; transmission		giving	to give sth; to transmit sth; to deal (cards); to offer sth; to provide sth							ge (zh:1.0:给gei=give ; de:0.9:geb=give; en:0.5:give); de (pie:*deH; es:de; hi:de)	
na	number			number/marks plural	41	82	"Merged in ""group"", the plural marker. The polysemy of ""number""=""whicth number in a group"" and ""number""=""a quantity"" is a little odd, but English has it too.
There is a bit of an ambiguity of big-number = large group or big number, but prolly fine."		quantity; number; amount; extent (to which something is something); group; team		numerous; a number of	to count sth; to number sth	number; plural marker					number; plural marker	na (ga:0.8:na; de:0.2:-en; ak:0.3:n-; en:0.3:no/number; es:0.2:número; fr:0.2:nombre; fil:0.2:numero; id:0.2:nomor; sw:0.6:nambari; sn:0.6:nhamba; vi:0.4:nhóm=group); mwe (ki); su (zh:shu=number, la:summa=number, vi:số=number, yue:sou=number; tyv:сан=number, tr:sayı, tt:san, proto-turkic:*sā(j)-=to count, gn:su=thousand ); de (zh)	kulupu; mute; nanpa
nang	can			can	42	84	"""I can do this"".
""you mean other can you do this or self can you do this?""
Note: In Chinese, 让 means both ""allow"" and ""make"" (he made me clean my room). This is simpler (more compressed) but strikes me as a bug in the language. On the other hand, collapsing ""allow"" and ""can"" seems more fine...in part because ""can"" is only intransitive, and ""allow"" is only transitive."		ability; permission			to allow sth; to permit sth; to let sth						can; may	nang (zh:0.5:neng=can); kang (en, de); ka (vi:có), pa (fr:peux, es:puede)	ken
wa	one			one	43	86			whole; unity; one		single	to unify sth; to unite sth	one						wa (ar:0.6:واحد=one; en:0.4:one; te:0.1:ఒక/[w]oka=one)	wan
do	two			two	44	88							two						do (ga:1.0:do; hi:1.0:दो; ru:0.6:два; es:0.7:dos; fr:0.5:deux; pt:0.6:dois; it:0.4:due; fil:0.2:dalawa; id:0.6:dua; en:0.1:two); dwa (ru:dva; id:dua)	tu
ti	three			three	45	90							three						ti (en:0.5:three; ru:0.5:три; es:0.3:tres; it:0.3:tre; pt:0.3:três; fr:0.2:trois; fil:0.2:tatlo; sw:0.3:tatu; sn:0.3:tatu; id:0.7:tiga; ar:0.7:ثلاثة/tlieta; hi:0.7:tin); si (en:three)	san; tuli
