___	
na igomang de nitai	Night Visitors
images:do-upasama.png:"bawi, yu du yau putaupa e?",odisa-igo.png:"sikwai so ni, sikwai so lamali",wikuliboi-mlem.png:"i wikuliboi, i du sekwai nau",wanglamau.png:"i du bi e mau?",wikuliboi-langko.png	
odisa du yo maukai so wi.	Odis has a little cat door.
kagu de i ne dabau, gewai i du yau dai maukai du go tu ne, du ka kagu de i.	His food is inside the house, so he has to use the cat door to go inside and eat his food.
natai, odisa du ka wina kagu, dana tai.	normally, Odis eats a small amount of food many times a day.
yo tai, mi du meng i wating du ka wano kagukwai!	Sometimes, I think he only eats ten kibbles!
geng nutai mi du si, kagu de i du go nosi so kwi!	but recently, I have seen that his food has disappeared very quickly!
laiting, mi du si kabau de i no du bi ne lu so natai, geng du bi winai maukai.	Also, I see that his bowl is not in its normal place, but instead is close to the cat door.
mi yau du bu we du pumeng, e du swadu!	I have to figure out a way to learn what is happening!
gewai, mi du obu app so du nang mi du du naise de mi tu siduting.	So i found an app that lets me make my phone into a camera.
mi du lu do naise winai maukai, du kunokai maukai, lai du lubi tu du si e be du swadu.	I put two phones near the cat door, locked the cat door, and waited to see what would happen.
betai, mi du pingtai.	afterwards, I went to sleep.
a nitai, dana ting du swadu!	Many things happened that night!
na wa ting du swadu witai be menitai.	The first thing happened shortly after midnight.
mau so wanglayang du swasi!	An orange cat appeared!
mi ya du sa ne i lu wano daswetai, geng i du bi na wa tai so mi du si i mau.	I have lived here for ten years, but this is my first time seeing this cat.
na do ting du bi, wikuliboi du swasi!	The second thing was that a raccoon appeared!
i du oka kagu de odisa.	He ate up Odis' food.
pauting, odisa swa du swasi.	Finally, Odis himself appeared.
kagu so nosi, maukai so nokai.	The food was gone, the cat door was closed.
i du si so kebegameng.	He looked disappointed.
	
___	
na omeng so da	Big decisions 
images:odisa-ba-lobau.png:"du loka laiting no du loka?"	
	
odisa du bi mang so du yo dana omeng so dawe.	Odis is someone who has many important decisions.
o nutai i du tau tu ta yotingpingting.	Every morning he jumps onto the table.
ta yotingpingting du yo do lobau de lo.	There are two cups of water on the table.
o do du bi lo tu mau.	Both of them are water for the cat.
odisa du tau, du ogo tu me i do bau.	Odis jumps and arrives in-between these two cups.
i du si tu wa bau.	He looks at one cup.
betai, i du si tu lai bau.	Then, he looks at the other cup.
i du meng so da ku, po dono wiwitai.	He thinks very hard, maybe for 20 seconds.
so pau, i du omeng.	In the end, he decides.
i kai du loka lo de wa lobau.	He starts to drink from one cup.
wina wiwitai be, i du nogo, du laitu to, du loka de lai lobau.	A few seconds later, he stops, turns his head, and drinks from the other cup.
i swadu du lailai mena witai.	This phenomenon continues for several minutes.
mi du emeng so da, i mau du meng e ting.	I really wonder what this cat is thinking.
i du omeng e we??	How does he decide??
i du meng e ting??	What is he thinking about??
i du bu e ting?	What is he looking for?
i du obu e na pauting?	What conclusions does he reach?
na mau du ge mina dana kumeng.	Cats give us much knowledge.
geng ne i biting, mi no du kumeng, i du ge mina e kumeng.	But in this case, I don't know what knowledge he has given us.
	
	
___	
so da yodanating	Very busy
images:odisa-pingtai.png:"i mau du pingtai",odisa-gali.png:"i mau du pingtai ta mi"	
du yo tai so odisa so gali so da, du ping lu su, du nang mang du pingpi i.	Sometimes, Odis is very happy and lies on the ground, allowing people to pat him.
geng lai na tai, i mau du yo ting so dawe so i dwa du.	But other times, he has important things he has to do.
i na tai, yu lailai nang bu du pingpi i.	These times, you can still try to touch him.
no du bi biting, so i no yau yu du i ting.	It's not the case that he doesn't want you to do this.
geng dapo so i no be pau du kogo.	But it's likely he won't stop walking.
tai i du yo ting so dawe so i dwa du, i no du yo tai du lai ting.	When he has important things to do, he doesn't have time for other things.
yu no dwa du nogali bi i no du nogo.	You shouldn't be sad if he doesn't stop.
i mau du bi boi so yodanating.	This cat is a busy animal.
mi swa no du kumeng i dwa du e na ting!	I myself don't know what things he needs to do!
geng ina dwa du bi so dawe so da.	But they must be very important.
bi yu yau so da du pingpi i, yu nang du dai wigaka du deli i du igo.	If you want to touch him, you can use a treat to entice him to come.
	
___	
yau	desires
yo tai so odisa du swasi, du sang so dana.	Sometimes, Odis appears and meows a lot.
de i tai, i so gwa du si i du yau e ting.	Some of these times, it is easy to see what he wants.
lai na tai, yu du ge ka tu i, yu du pingpi i, geng i lailai du sang.	Other times, you give him food, you pat him, but he continues to meow.
i du yau e ting?	What does he want?
i swa du yau ting e?	Do they even want anything?
so po, i nomai du li yau so opo ne salokwai de i.	Maybe, he feels a general desire inside his heart.
no du bi yau so walu, nomai du bi li so opo.	It's not a specific desire, just a general feeling.
