theme	P(L)	P(I):	surface	gloss	i	a	COMMENTS/TODOS	noun/pronoun	adj/adv	verb	quantifier	conjunction	preposition	affix	interjection	fn
people			kalala	u_clara												
			kakaka	u_laugh												
animal: more complex				u_antelope	230			antelope								
animal: more complex				u_elk	231			elk								
animal: more complex				u_reindeer	232			caribou; reindeer								
animal: more complex				u_buffalo	233			buffalo								
animal: more complex				u_butterfly	234			butterfly								
animal: more complex				u_crocodile	235			crocodile								
animal: more complex				u_dolphin	236			dolphin								
animal: more complex				u_dormouse	237			dormouse								
animal: more complex				u_gorilla	238			gorilla								
animal: more complex				u_jellyfish	239			jellyfish								
animal: more complex				u_koala	240			koala								
animal: more complex				u_leopard	241			leopard								
animal: more complex				u_monkey	243			monkey								
animal: more complex				u_newt	244			newt								
animal: more complex				u_ocelot	245			ocelot								
animal: more complex				u_otter	246			otter								
animal: more complex				u_parrot	247			parrot								
animal: more complex				u_robin	248			robin								
animal: more complex				u_scorpion	249			scorpion								
animal: more complex				u_turkey	251			turkey								
foods				u_apricot-hard	408			almond								
foods				u_oak-hard	414			acorn								
foods			pinya	u_pineapple	708			pineapple								
foods				u_kingchi	516			kimchi								
foods				u_kongbucha	517			kombucha								
people		2	aisaka	u_isaac	1013			Isaac								
people		2	lisa	u_lisa	1014			Lisa								
people		2	teba	u_trevor	1015			Trevor!								
people			lamang	u_raman	1016			Raman								
people			odisa	u_odis	1017			Odis								
people			isabela	u_isabel	1018			Isabel								
people			daniyela	u_daniel	1019			Daniel								
people			pusupa	u_puspa	1020			Puspa								
people			nika	u_nick	1021			Nick								
people			abi	u_abby	1022			Abby								
people			yuta	u_utah	1023			Utah								
foods				u_apricot	1024											
countries				u_country_Afghanistan	3001											
countries				u_country_Albania	3002											
countries				u_country_Algeria	3003											
countries				u_country_Andorra	3004											
countries				u_country_Angola	3005											
countries				u_country_Antigua_and_Barbuda	3006											
countries				u_country_Argentina	3007											
countries				u_country_Armenia	3008											
countries				u_country_Australia	3009											
countries				u_country_Austria	3010											
countries				u_country_Azerbaijan	3011											
countries				u_country_Bahamas	3012											
countries				u_country_Bahrain	3013											
countries				u_country_Bangladesh	3014											
countries				u_country_Barbados	3015											
countries				u_country_Belarus	3016											
countries				u_country_Belgium	3017											
countries				u_country_Belize	3018											
countries				u_country_Benin	3019											
countries				u_country_Bhutan	3020											
countries				u_country_Bolivia	3021											
countries				u_country_Bosnia_and_Herzegovina	3022											
countries				u_country_Botswana	3023											
countries				u_country_Brazil	3024											
countries				u_country_Brunei	3025											
countries				u_country_Bulgaria	3026											
countries				u_country_Burkina_Faso	3027											
countries				u_country_Burundi	3028											
countries				u_country_Cabo_Verde	3029											
countries				u_country_Cambodia	3030											
countries				u_country_Cameroon	3031											
countries				u_country_Canada	3032											
countries				u_country_Central_African_Republic	3033											
countries				u_country_Chad	3034											
countries				u_country_Chile	3035											
countries				u_country_China	3036											
countries				u_country_Colombia	3037											
countries				u_country_Comoros	3038											
countries				u_country_Congo,_Democratic_Republic_of_the	3039											
countries				u_country_Congo,_Republic_of_the	3040											
countries				u_country_Costa_Rica	3041											
countries				u_country_Ivory_Coast	3042											
countries				u_country_Croatia	3043											
countries				u_country_Cuba	3044											
countries				u_country_Cyprus	3045											
countries				u_country_Czechia	3046											
countries				u_country_Denmark	3047											
countries				u_country_Djibouti	3048											
countries				u_country_Dominica	3049											
countries				u_country_Dominican_Republic	3050											
countries				u_country_Ecuador	3051											
countries				u_country_Egypt	3052											
countries				u_country_El_Salvador	3053											
countries				u_country_Equatorial_Guinea	3054											
countries				u_country_Eritrea	3055											
countries				u_country_Estonia	3056											
countries				u_country_Eswatini	3057											
countries				u_country_Ethiopia	3058											
countries				u_country_Fiji	3059											
countries				u_country_Finland	3060											
countries				u_country_France	3061											
countries				u_country_Gabon	3062											
countries				u_country_Gambia	3063											
countries				u_country_Georgia	3064											
countries				u_country_Germany	3065											
countries				u_country_Ghana	3066											
countries				u_country_Greece	3067											
countries				u_country_Grenada	3068											
countries				u_country_Guatemala	3069											
countries				u_country_Guinea	3070											
countries				u_country_Guinea_Bissau	3071											
countries				u_country_Guyana	3072											
countries				u_country_Haiti	3073											
countries				u_country_Vatican_City	3074											
countries				u_country_Honduras	3075											
countries				u_country_Hungary	3076											
countries				u_country_Iceland	3077											
countries				u_country_India	3078											
countries				u_country_Indonesia	3079											
countries				u_country_Iran	3080											
countries				u_country_Iraq	3081											
countries				u_country_Ireland	3082											
countries				u_country_Israel	3083											
countries				u_country_Italy	3084											
countries				u_country_Jamaica	3085											
countries				u_country_Japan	3086											
countries				u_country_Jordan	3087											
countries				u_country_Kazakhstan	3088											
countries				u_country_Kenya	3089											
countries				u_country_Kiribati	3090											
countries				u_country_Korea	3091											
countries				u_country_Kuwait	3092											
countries				u_country_Kyrgyzstan	3093											
countries				u_country_Laos	3094											
countries				u_country_Latvia	3095											
countries				u_country_Lebanon	3096											
countries				u_country_Lesotho	3097											
countries				u_country_Liberia	3098											
countries				u_country_Libya	3099											
countries				u_country_Liechtenstein	3100											
countries				u_country_Lithuania	3101											
countries				u_country_Luxembourg	3102											
countries				u_country_Madagascar	3103											
countries				u_country_Malawi	3104											
countries				u_country_Malaysia	3105											
countries				u_country_Maldives	3106											
countries				u_country_Mali	3107											
countries				u_country_Malta	3108											
countries				u_country_Marshall_Islands	3109											
countries				u_country_Mauritania	3110											
countries				u_country_Mauritius	3111											
countries				u_country_Mexico	3112											
countries				u_country_Micronesia	3113											
countries				u_country_Moldova	3114											
countries				u_country_Monaco	3115											
countries				u_country_Mongolia	3116											
countries				u_country_Montenegro	3117											
countries				u_country_Morocco	3118											
countries				u_country_Mozambique	3119											
countries				u_country_Myanmar	3120											
countries				u_country_Namibia	3121											
countries				u_country_Nauru	3122											
countries				u_country_Nepal	3123											
countries				u_country_Netherlands	3124											
countries				u_country_New_Zealand	3125											
countries				u_country_Nicaragua	3126											
countries				u_country_Niger	3127											
countries				u_country_Nigeria	3128											
countries				u_country_North_Macedonia	3129											
countries				u_country_Norway	3130											
countries				u_country_Oman	3131											
countries				u_country_Pakistan	3132											
countries				u_country_Palau	3133											
countries				u_country_Palestine,_State_of	3134											
countries				u_country_Panama	3135											
countries				u_country_Papua_New_Guinea	3136											
countries				u_country_Paraguay	3137											
countries				u_country_Peru	3138											
countries				u_country_Philippines	3139											
countries				u_country_Poland	3140											
countries				u_country_Portugal	3141											
countries				u_country_Qatar	3142											
countries				u_country_Romania	3143											
countries				u_country_Russia	3144											
countries				u_country_Rwanda	3145											
countries				u_country_Saint_Kitts_and_Nevis	3146											
countries				u_country_Saint_Lucia	3147											
countries				u_country_Saint_Vincent_and_the_Grenadines	3148											
countries				u_country_Samoa	3149											
countries				u_country_San_Marino	3150											
countries				u_country_Sao_Tome_and_Principe	3151											
countries				u_country_Saudi_Arabia	3152											
countries				u_country_Senegal	3153											
countries				u_country_Serbia	3154											
countries				u_country_Seychelles	3155											
countries				u_country_Sierra_Leone	3156											
countries				u_country_Singapore	3157											
countries				u_country_Slovakia	3158											
countries				u_country_Slovenia	3159											
countries				u_country_Solomon_Islands	3160											
countries				u_country_Somalia	3161											
countries				u_country_South_Africa	3162											
countries				u_country_South_Sudan	3163											
countries				u_country_Spain	3164											
countries				u_country_Sri_Lanka	3165											
countries				u_country_Sudan	3166											
countries				u_country_Suriname	3167											
countries				u_country_Sweden	3168											
countries				u_country_Switzerland	3169											
countries				u_country_Syria	3170											
countries				u_country_Tajikistan	3171											
countries				u_country_Tanzania	3172											
countries				u_country_Thailand	3173											
countries				u_country_Timor_Leste	3174											
countries				u_country_Togo	3175											
countries				u_country_Tonga	3176											
countries				u_country_Trinidad_and_Tobago	3177											
countries				u_country_Tunisia	3178											
countries				u_country_Turkey	3179											
countries				u_country_Turkmenistan	3180											
countries				u_country_Tuvalu	3181											
countries				u_country_Uganda	3182											
countries				u_country_Ukraine	3183											
countries				u_country_United_Arab_Emirates	3184											
countries				u_country_United_Kingdom	3185											
countries				u_country_United_States	3186											
countries				u_country_Uruguay	3187											
countries				u_country_Uzbekistan	3188											
countries				u_country_Vanuatu	3189											
countries				u_country_Venezuela	3190											
countries				u_country_Vietnam	3191											
countries				u_country_Yemen	3192											
countries				u_country_Zambia	3193											
