___		
gasang de upasama	Opossum song	
images:ai-upasama-1.png:"upasama"		
laitaisang	Chor	
[i du] noswe noswe nau	[He] washes his nose thoroughly	
[i] du so nokwe ko lobau	he [accidentally] knocks over the [water] container	
upasama so wi	The smol opossum	
du bi ta wi mamang de mi!	is my smallest friend	
gasangkwai 1	Vers 1	
e mang du igo?	Who is coming?	
oka ka de mau de mi	eating up my cat's food	
e mang i du	Who is [..]	
gasangkwai 2	Vers 2	
nang du bi lai mau?	Could it be another cat?	
nang du bi wikuliboi?	Could it be a raccoon?	
nang du bi du	Could it be that he [...]	
gasangkwai 3	Vers 3	
mi du lu siduting	I placed a camera	
du si boi so bai so wi:	[and] saw a small white animal:	
upasama	The opossum...	
gasangkwai 4	Vers 4	
i so nokwe du	He accidentally	
liko bau de lo de i	knocks over his water bowl	
betai i du	then he....	
gasangkwai 5	Vers 5	
lo du bi lu su	The water is on the ground	
pauting i du kai loka	finally he starts drinking	
be oka du	After drinking it up, [he]	
gasangkwai 6	Vers 6	
yu du yau ena tai	How much time do you need	
du noswe a nau so lang	to wash that long nose?	
ena tai du	How much time do you...	
gasangkwai 7	Vers 7	
yu so igago	You are welcome	
mi du yau si yu du swada	I want to see you grow up	
du yau yu du	I want you to....	
gasangkwai 8	Vers 8	
mi du yau si wimang [de yu]	I want to see [your] children	
du tago ta ya de yu	riding on your back	
si ina du	see them ....	
		
		
___		
gasang de dapwaboi	Squorl Song	
laitaisang	Chor	
[du] kwigo ta kwigo ta kwigo ta dapwa; du	[it] quickly goes up, quickly goes up, quickly goes up to the top of the tree	
kwigo su kwigo su kwigo su so gwa; du	quickly goes down, quickly goes down, quickly goes down so gracefully	kwigo su kwigo su kwigo tu wibwa; du
gasangkwai 1	Vers 1	
de wikusai du tau tu dapwako	From the fence, [it] jumps to the tree branch	
mi du si i, du meng i du kigo	Seeing him I think he is flying	
yu du bi sweboi laiting du bi kiboi?	Are you a land animal or a bird?	
i dapwaboi du kwigo so gadimang ! du	This squirrel zooms like a dancer! He....	so gadimang du go i dapwalengboi ! du
gasangkwai 2	Vers 2	
de ilu tu alu du bu pwaku	From here to there, he searches for nuts	
no du yameng du pu ana elu	He can't remember where he put them	
XXXX olu du nubi twating — 	From here to there, he digs holes —	
i dapwaboi XX so peli du bu ! du	In this way, the squirrel playfully searches. He	iwe, so peli du bu dapwalengboi ! du / iwe, so peli du bu i dapwaboi ! du
gasangkwai 3	Vers 3	
yuna du oke pwalu de mina	you all destroy our garden	
geng lailai mi du ma na dapwaboi	But I still love squirrels	
yako de ana so da so boleng~	their tails are so fluffy	
na dapwaboi du bi mamang de mina! du	Squirrels are our friends! They	
		
		
___		
gasang de sukwatai	Song of Autumn	
laitaisang	Chor	
pa ge gasa		
pa ge gasa so dada, i		
		
gasangkwai 1		
sukwatai du igo	Fall is coming	
geng lailai du bi so la	It is still warm	
wangtota-kiboi du gasang:	The yellow-crowned bird sings:	
gasangkwai 2		
